,Fecha_Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
0,2004-01-01,Parking,Alquiler,Lleida,291.0,2133903.0,2004-06-19,Carmen
3,2004-01-02,Parking,Alquiler,Girona,285.0,,2004-04-27,Jesús
6,2004-01-03,Parking,Alquiler,Tarragona,,406686.0,2004-06-07,Pedro
8,2004-01-04,Piso,Alquiler,Lleida,108.0,1024380.0,2004-12-28,Jesús
9,2004-01-04,Parking,Venta,Lleida,299.0,2042768.0,2004-10-06,Joaquín
12,2004-01-04,Parking,Venta,Barcelona,,2937300.0,2004-11-04,Jesús
13,2004-01-04,Local,Venta,Tarragona,68.0,664700.0,2004-10-01,Carmen
18,2004-01-07,Piso,Alquiler,Girona,55.0,472615.0,2004-04-09,Luisa
25,2004-01-10,Local,Alquiler,Tarragona,70.0,549780.0,2004-06-22,Jesús
26,2004-01-11,Local,Alquiler,Tarragona,70.0,659330.0,2004-12-23,Pedro
29,2004-01-12,Local,Alquiler,Tarragona,201.0,939072.0,2004-08-04,Carmen
32,2004-01-15,Local,Alquiler,Barcelona,181.0,1504110.0,2004-07-03,María
36,2004-01-16,Local,Venta,Girona,229.0,1160572.0,2004-07-09,Pedro
38,2004-01-18,Parking,Alquiler,Tarragona,215.0,1154980.0,2005-01-14,Joaquín
40,2004-01-18,Piso,Venta,Barcelona,230.0,1421860.0,2004-09-23,Jesús
46,2004-01-20,Piso,Alquiler,Barcelona,53.0,249418.0,2004-08-11,Luisa
48,2004-01-20,Local,Venta,Girona,40.0,321680.0,2005-01-11,Jesús
49,2004-01-20,Local,Alquiler,Tarragona,235.0,957625.0,2004-11-13,Carmen
51,2004-01-22,Local,Alquiler,Lleida,206.0,1605564.0,2004-09-26,María
54,2004-01-22,Local,Venta,Girona,127.0,983234.0,2004-07-09,Carmen
55,2004-01-23,Piso,Venta,Lleida,54.0,239220.0,2004-05-01,María
57,2004-01-24,Local,Alquiler,Girona,274.0,2287626.0,2004-12-21,María
62,2004-01-25,Piso,Venta,Barcelona,144.0,738144.0,2004-09-06,Luisa
67,2004-01-27,Local,Alquiler,Barcelona,68.0,376992.0,2004-06-28,Luisa
68,2004-01-27,Local,Venta,Girona,248.0,2212408.0,2004-10-09,María
72,2004-01-28,Parking,Alquiler,Barcelona,62.0,320044.0,2004-09-04,Joaquín
77,2004-01-31,Piso,Venta,Lleida,87.0,448485.0,2004-10-04,María
78,2004-01-31,Parking,Venta,Barcelona,298.0,2520484.0,2004-11-27,Carmen
79,2004-01-31,Parking,Alquiler,Barcelona,217.0,1339107.0,2004-10-05,Carmen
81,2004-02-02,Parking,Venta,Girona,117.0,1069731.0,2004-09-14,Pedro
83,2004-02-02,Piso,Venta,Barcelona,94.0,470940.0,2004-07-28,Carmen
84,2004-02-02,Local,Alquiler,Barcelona,127.0,925322.0,2004-06-03,Joaquín
85,2004-02-03,Piso,Venta,Girona,275.0,2141700.0,2005-01-08,Jesús
87,2004-02-03,Parking,Alquiler,Tarragona,58.0,421196.0,2004-10-10,Pedro
88,2004-02-04,Local,Alquiler,Barcelona,49.0,219716.0,2004-09-27,Jesús
91,2004-02-05,Piso,Alquiler,Barcelona,48.0,388032.0,2004-05-06,Jesús
94,2004-02-06,Local,Venta,Barcelona,68.0,663816.0,2004-05-23,Joaquín
99,2004-02-08,Local,Alquiler,Tarragona,125.0,531375.0,2004-06-23,Jesús
101,2004-02-08,Local,Venta,Barcelona,45.0,438435.0,2004-05-23,Luisa
104,2004-02-10,Piso,Alquiler,Girona,238.0,1854496.0,2005-02-02,Luisa
105,2004-02-10,Piso,Alquiler,Lleida,300.0,2105700.0,2005-01-26,Pedro
109,2004-02-12,Parking,Venta,Barcelona,206.0,1587642.0,2004-12-20,Luisa
111,2004-02-13,Local,Alquiler,Lleida,160.0,1064800.0,2004-09-22,Pedro
115,2004-02-15,Parking,Venta,Girona,103.0,973659.0,2005-01-04,Jesús
118,2004-02-16,Parking,Venta,Lleida,51.0,307989.0,2004-07-06,Pedro
119,2004-02-16,Piso,Venta,Tarragona,174.0,973878.0,2004-12-13,Jesús
120,2004-02-17,Parking,Venta,Barcelona,152.0,688864.0,2004-12-06,Jesús
122,2004-02-17,Local,Alquiler,Girona,179.0,1461356.0,2004-07-30,Pedro
128,2004-02-21,Parking,Alquiler,Lleida,206.0,1363926.0,2005-01-08,Carmen
130,2004-02-21,Local,Venta,Lleida,55.0,477345.0,2004-09-04,Carmen
134,2004-02-22,Local,Venta,Lleida,45.0,229455.0,2004-10-05,Jesús
138,2004-02-26,Local,Alquiler,Tarragona,63.0,533925.0,2004-09-22,Joaquín
139,2004-02-26,Piso,Venta,Barcelona,222.0,1076034.0,2004-06-02,María
143,2004-02-28,Parking,Alquiler,Barcelona,121.0,782870.0,2004-11-19,Pedro
144,2004-02-28,Piso,Venta,Girona,50.0,315550.0,2004-10-14,Pedro
145,2004-02-28,Parking,Venta,Girona,274.0,2028970.0,2004-08-20,Luisa
146,2004-02-28,Parking,Alquiler,Barcelona,76.0,734388.0,2004-05-28,Joaquín
147,2004-02-28,Local,Venta,Barcelona,109.0,779241.0,2004-05-30,María
148,2004-02-29,Piso,Venta,Lleida,249.0,1492506.0,2005-02-12,Luisa
152,2004-03-02,Piso,Venta,Lleida,68.0,434656.0,2004-07-13,María
158,2004-03-04,Local,Venta,Lleida,106.0,563178.0,2004-08-01,Pedro
161,2004-03-05,Piso,Alquiler,Lleida,251.0,1361675.0,2004-08-16,Jesús
162,2004-03-05,Local,Venta,Tarragona,266.0,1161090.0,2004-11-23,Carmen
166,2004-03-06,Parking,Venta,Girona,169.0,1370759.0,2005-01-14,Luisa
171,2004-03-08,Piso,Alquiler,Tarragona,108.0,558252.0,2004-10-19,María
173,2004-03-09,Piso,Alquiler,Lleida,143.0,1131416.0,2004-08-25,Joaquín
174,2004-03-10,Local,Venta,Barcelona,52.0,416936.0,2004-08-25,Carmen
177,2004-03-11,Local,Venta,Tarragona,118.0,513300.0,2004-10-26,María
181,2004-03-13,Local,Alquiler,Tarragona,162.0,1323054.0,2004-08-25,Joaquín
182,2004-03-14,Local,Alquiler,Girona,231.0,1446522.0,2004-09-02,Carmen
186,2004-03-16,Local,Alquiler,Barcelona,95.0,919030.0,2004-12-10,María
188,2004-03-17,Parking,Venta,Girona,160.0,1261600.0,2004-10-25,Jesús
189,2004-03-17,Parking,Alquiler,Lleida,95.0,448210.0,2004-10-25,Pedro
191,2004-03-18,Local,Venta,Girona,56.0,553616.0,2005-03-09,Pedro
193,2004-03-19,Local,Alquiler,Girona,117.0,986895.0,2004-09-14,Pedro
194,2004-03-19,Piso,Venta,Girona,62.0,250852.0,2004-07-21,Carmen
195,2004-03-20,Piso,Alquiler,Barcelona,281.0,1336717.0,2004-11-10,Carmen
196,2004-03-20,Piso,Venta,Tarragona,87.0,519738.0,2005-01-13,Carmen
199,2004-03-22,Parking,Venta,Tarragona,281.0,2108343.0,2004-09-26,Pedro
200,2004-03-22,Parking,Venta,Girona,247.0,1050985.0,2004-11-09,Pedro
201,2004-03-22,Piso,Alquiler,Girona,52.0,298272.0,2004-08-13,María
202,2004-03-22,Local,Alquiler,Girona,169.0,902798.0,2004-07-16,Luisa
203,2004-03-23,Local,Alquiler,Barcelona,106.0,692180.0,2004-11-09,Luisa
204,2004-03-23,Local,Venta,Girona,274.0,2002392.0,2004-12-04,Luisa
205,2004-03-23,Piso,Alquiler,Lleida,250.0,2253500.0,2005-02-21,Joaquín
206,2004-03-23,Piso,Alquiler,Lleida,134.0,1338124.0,2004-08-19,Luisa
208,2004-03-24,Parking,Venta,Lleida,167.0,1643948.0,2004-09-21,María
210,2004-03-25,Parking,Alquiler,Barcelona,269.0,2134246.0,2004-08-11,Carmen
214,2004-03-27,Parking,Alquiler,Girona,214.0,1219158.0,2004-07-13,Pedro
221,2004-03-30,Local,Alquiler,Girona,82.0,420660.0,2004-10-02,María
224,2004-04-01,Parking,Alquiler,Barcelona,152.0,1069320.0,2004-12-15,Jesús
225,2004-04-01,Local,Alquiler,Tarragona,182.0,1133132.0,2004-08-29,Joaquín
227,2004-04-01,Local,Venta,Girona,211.0,2010619.0,2004-11-12,Jesús
230,2004-04-03,Local,Alquiler,Barcelona,143.0,665951.0,2005-02-18,Pedro
232,2004-04-03,Local,Alquiler,Girona,246.0,1362348.0,2004-10-05,Joaquín
236,2004-04-05,Piso,Venta,Tarragona,262.0,1748850.0,2004-10-07,Pedro
238,2004-04-05,Piso,Alquiler,Lleida,268.0,2338032.0,2005-01-02,Pedro
239,2004-04-06,Parking,Venta,Barcelona,164.0,1298716.0,2004-12-03,Luisa
240,2004-04-06,Local,Venta,Lleida,260.0,2038660.0,2004-07-26,Carmen
242,2004-04-07,Local,Venta,Lleida,298.0,1870546.0,2005-03-31,Luisa
243,2004-04-07,Local,Alquiler,Tarragona,284.0,1431076.0,2004-12-22,María
245,2004-04-09,Local,Venta,Girona,287.0,1936102.0,2005-04-08,Jesús
249,2004-04-09,Piso,Alquiler,Lleida,175.0,747075.0,2005-02-01,Pedro
251,2004-04-09,Parking,Alquiler,Lleida,168.0,1622040.0,2004-10-15,María
252,2004-04-10,Parking,Venta,Tarragona,106.0,567206.0,2004-08-08,María
253,2004-04-10,Piso,Venta,Girona,67.0,379689.0,2004-10-29,Pedro
254,2004-04-10,Local,Alquiler,Barcelona,49.0,424536.0,2005-03-04,Pedro
258,2004-04-11,Parking,Venta,Tarragona,138.0,1183212.0,2005-02-26,Luisa
259,2004-04-12,Piso,Alquiler,Tarragona,258.0,1750014.0,2004-12-09,Luisa
263,2004-04-14,Parking,Alquiler,Tarragona,258.0,1770912.0,2005-03-02,Jesús
264,2004-04-14,Parking,Venta,Barcelona,105.0,927255.0,2004-11-21,Luisa
265,2004-04-14,Parking,Alquiler,Tarragona,216.0,1125792.0,2004-09-16,Jesús
268,2004-04-15,Parking,Venta,Lleida,52.0,446888.0,2004-09-01,María
269,2004-04-15,Parking,Alquiler,Tarragona,223.0,1342906.0,2004-10-31,Joaquín
270,2004-04-15,Local,Alquiler,Lleida,237.0,1093281.0,2005-01-02,Jesús
272,2004-04-15,Piso,Alquiler,Lleida,120.0,722880.0,2005-02-14,Joaquín
273,2004-04-15,Piso,Alquiler,Lleida,113.0,1102880.0,2005-03-17,Jesús
274,2004-04-16,Local,Alquiler,Girona,193.0,1079449.0,2004-11-20,Pedro
276,2004-04-17,Parking,Venta,Barcelona,209.0,2038586.0,2005-01-06,Jesús
291,2004-04-21,Parking,Venta,Barcelona,54.0,258444.0,2005-03-08,Pedro
292,2004-04-22,Parking,Venta,Girona,82.0,430418.0,2005-02-09,Luisa
295,2004-04-22,Parking,Alquiler,Barcelona,235.0,1773780.0,2005-03-28,Pedro
305,2004-04-27,Piso,Venta,Lleida,142.0,1055912.0,2004-09-28,Jesús
308,2004-04-28,Piso,Alquiler,Lleida,237.0,1763517.0,2004-09-06,Luisa
312,2004-04-30,Local,Alquiler,Barcelona,91.0,391391.0,2005-02-13,Luisa
316,2004-05-02,Parking,Alquiler,Barcelona,251.0,1754992.0,2004-08-26,Jesús
318,2004-05-02,Piso,Venta,Tarragona,123.0,961368.0,2004-09-04,Luisa
322,2004-05-03,Parking,Venta,Barcelona,237.0,1592166.0,2004-10-15,María
324,2004-05-04,Piso,Venta,Girona,60.0,332400.0,2004-08-30,Joaquín
329,2004-05-05,Parking,Alquiler,Girona,125.0,1189250.0,2004-10-26,Pedro
330,2004-05-05,Parking,Alquiler,Barcelona,205.0,990355.0,2004-12-08,Luisa
331,2004-05-06,Local,Alquiler,Girona,138.0,877680.0,2005-03-31,Luisa
332,2004-05-06,Piso,Venta,Barcelona,110.0,803000.0,2004-08-25,Jesús
334,2004-05-07,Piso,Venta,Lleida,148.0,634920.0,2005-04-27,Joaquín
335,2004-05-07,Local,Alquiler,Tarragona,227.0,1394461.0,2005-01-28,María
341,2004-05-10,Local,Alquiler,Lleida,259.0,1992228.0,2004-12-21,Pedro
342,2004-05-10,Parking,Venta,Barcelona,175.0,1178100.0,2004-11-12,Luisa
345,2004-05-11,Local,Venta,Tarragona,202.0,1320676.0,2004-12-23,Pedro
348,2004-05-12,Parking,Venta,Tarragona,234.0,1398852.0,2004-11-01,María
350,2004-05-13,Piso,Alquiler,Girona,75.0,418725.0,2005-04-24,Pedro
352,2004-05-14,Piso,Alquiler,Tarragona,257.0,1980185.0,2004-08-14,Carmen
353,2004-05-14,Piso,Venta,Girona,122.0,885476.0,2005-03-30,Carmen
355,2004-05-14,Parking,Alquiler,Lleida,154.0,830830.0,2005-02-03,Luisa
357,2004-05-15,Piso,Venta,Barcelona,131.0,1180048.0,2004-11-04,Joaquín
