,Fecha_Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
0,2004-01-01,Parking,Alquiler,Lleida,291.0,2133903.0,2004-06-19,Carmen
2,2004-01-01,Oficina,Alquiler,Girona,82.0,,2004-11-08,Joaquín
3,2004-01-02,Parking,Alquiler,Girona,285.0,,2004-04-27,Jesús
5,2004-01-03,Industrial,Alquiler,Girona,131.0,953156.0,2004-09-05,Pedro
6,2004-01-03,Parking,Alquiler,Tarragona,,406686.0,2004-06-07,Pedro
7,2004-01-03,Oficina,Venta,Girona,235.0,2158475.0,2004-10-31,Jesús
8,2004-01-04,Piso,Alquiler,Lleida,108.0,1024380.0,2004-12-28,Jesús
10,2004-01-04,Oficina,Alquiler,Girona,124.0,627068.0,2004-10-28,Pedro
14,2004-01-04,Industrial,Alquiler,Girona,176.0,820336.0,2004-11-29,Pedro
15,2004-01-05,Casa,Alquiler,Girona,179.0,937960.0,2004-11-21,Carmen
16,2004-01-05,Casa,Alquiler,Tarragona,58.0,358846.0,2004-10-08,Luisa
18,2004-01-07,Piso,Alquiler,Girona,55.0,472615.0,2004-04-09,Luisa
19,2004-01-08,Oficina,Alquiler,Barcelona,148.0,1169496.0,2004-08-19,María
21,2004-01-09,Oficina,Alquiler,Lleida,116.0,727552.0,2004-04-14,Pedro
22,2004-01-10,Casa,Alquiler,Girona,183.0,1438929.0,2004-04-21,Luisa
23,2004-01-10,Oficina,Alquiler,Tarragona,79.0,427390.0,2004-12-01,Joaquín
24,2004-01-10,Oficina,Alquiler,Barcelona,124.0,1170684.0,2004-05-23,Jesús
25,2004-01-10,Local,Alquiler,Tarragona,70.0,549780.0,2004-06-22,Jesús
26,2004-01-11,Local,Alquiler,Tarragona,70.0,659330.0,2004-12-23,Pedro
27,2004-01-12,Casa,Alquiler,Barcelona,187.0,1660560.0,2004-06-16,Joaquín
28,2004-01-12,Casa,Alquiler,Tarragona,91.0,753571.0,2004-07-07,Luisa
29,2004-01-12,Local,Alquiler,Tarragona,201.0,939072.0,2004-08-04,Carmen
30,2004-01-13,Industrial,Alquiler,Barcelona,142.0,1405374.0,2004-09-24,Jesús
31,2004-01-13,Casa,Alquiler,Girona,92.0,627348.0,2004-04-12,María
32,2004-01-15,Local,Alquiler,Barcelona,181.0,1504110.0,2004-07-03,María
34,2004-01-15,Industrial,Alquiler,Tarragona,257.0,1799771.0,2004-12-31,Luisa
35,2004-01-16,Industrial,Alquiler,Tarragona,140.0,1054340.0,2004-12-02,Luisa
37,2004-01-17,Suelo,Alquiler,Tarragona,300.0,1492800.0,2004-12-08,Joaquín
38,2004-01-18,Parking,Alquiler,Tarragona,215.0,1154980.0,2005-01-14,Joaquín
39,2004-01-18,Oficina,Venta,Girona,182.0,1057784.0,2004-07-22,Jesús
41,2004-01-19,Oficina,Venta,Tarragona,168.0,1426992.0,2004-11-20,Jesús
42,2004-01-19,Oficina,Alquiler,Girona,74.0,579716.0,2004-09-22,María
44,2004-01-20,Oficina,Alquiler,Barcelona,287.0,2851058.0,2005-01-02,Joaquín
45,2004-01-20,Oficina,Alquiler,Lleida,224.0,1294048.0,2004-10-29,Carmen
46,2004-01-20,Piso,Alquiler,Barcelona,53.0,249418.0,2004-08-11,Luisa
49,2004-01-20,Local,Alquiler,Tarragona,235.0,957625.0,2004-11-13,Carmen
51,2004-01-22,Local,Alquiler,Lleida,206.0,1605564.0,2004-09-26,María
52,2004-01-22,Suelo,Alquiler,Tarragona,158.0,1438748.0,2004-10-17,Carmen
53,2004-01-22,Suelo,Alquiler,Barcelona,71.0,686996.0,2004-05-30,Luisa
56,2004-01-23,Oficina,Alquiler,Lleida,54.0,512730.0,2004-07-04,Carmen
57,2004-01-24,Local,Alquiler,Girona,274.0,2287626.0,2004-12-21,María
59,2004-01-24,Oficina,Alquiler,Lleida,270.0,1920240.0,2004-06-28,Jesús
64,2004-01-26,Oficina,Venta,Tarragona,144.0,1436832.0,2004-05-26,Luisa
66,2004-01-27,Industrial,Alquiler,Barcelona,219.0,948927.0,2004-10-15,Jesús
67,2004-01-27,Local,Alquiler,Barcelona,68.0,376992.0,2004-06-28,Luisa
69,2004-01-28,Casa,Alquiler,Tarragona,179.0,1647695.0,2004-07-12,María
72,2004-01-28,Parking,Alquiler,Barcelona,62.0,320044.0,2004-09-04,Joaquín
75,2004-01-29,Suelo,Alquiler,Tarragona,234.0,1757106.0,2004-12-28,Pedro
76,2004-01-30,Industrial,Alquiler,Tarragona,112.0,1104992.0,2004-06-25,Pedro
79,2004-01-31,Parking,Alquiler,Barcelona,217.0,1339107.0,2004-10-05,Carmen
80,2004-02-01,Industrial,Alquiler,Barcelona,236.0,1812244.0,2004-11-17,Pedro
84,2004-02-02,Local,Alquiler,Barcelona,127.0,925322.0,2004-06-03,Joaquín
86,2004-02-03,Industrial,Alquiler,Barcelona,93.0,778875.0,2004-05-12,Luisa
87,2004-02-03,Parking,Alquiler,Tarragona,58.0,421196.0,2004-10-10,Pedro
88,2004-02-04,Local,Alquiler,Barcelona,49.0,219716.0,2004-09-27,Jesús
90,2004-02-04,Industrial,Alquiler,Barcelona,123.0,723609.0,2004-12-16,Joaquín
91,2004-02-05,Piso,Alquiler,Barcelona,48.0,388032.0,2004-05-06,Jesús
92,2004-02-05,Industrial,Alquiler,Tarragona,132.0,922020.0,2004-10-23,Joaquín
93,2004-02-06,Industrial,Alquiler,Barcelona,177.0,965358.0,2004-06-08,Luisa
95,2004-02-07,Industrial,Alquiler,Tarragona,103.0,728931.0,2005-02-05,Jesús
98,2004-02-07,Industrial,Alquiler,Girona,251.0,2067236.0,2004-12-22,María
99,2004-02-08,Local,Alquiler,Tarragona,125.0,531375.0,2004-06-23,Jesús
100,2004-02-08,Suelo,Alquiler,Girona,162.0,710694.0,2004-09-27,María
102,2004-02-08,Casa,Alquiler,Girona,258.0,1188090.0,2004-07-19,María
103,2004-02-09,Oficina,Venta,Tarragona,104.0,699400.0,2004-07-14,Luisa
104,2004-02-10,Piso,Alquiler,Girona,238.0,1854496.0,2005-02-02,Luisa
105,2004-02-10,Piso,Alquiler,Lleida,300.0,2105700.0,2005-01-26,Pedro
106,2004-02-10,Suelo,Alquiler,Girona,222.0,1791318.0,2004-12-13,Jesús
107,2004-02-12,Suelo,Alquiler,Tarragona,187.0,1782297.0,2004-12-20,Joaquín
108,2004-02-12,Suelo,Alquiler,Barcelona,300.0,1528200.0,2004-08-09,Pedro
110,2004-02-13,Suelo,Alquiler,Tarragona,162.0,954666.0,2004-11-25,Joaquín
111,2004-02-13,Local,Alquiler,Lleida,160.0,1064800.0,2004-09-22,Pedro
112,2004-02-13,Suelo,Alquiler,Barcelona,89.0,887241.0,2005-01-02,Luisa
116,2004-02-15,Oficina,Venta,Girona,274.0,1724008.0,2004-09-26,Joaquín
117,2004-02-15,Oficina,Venta,Girona,253.0,2047276.0,2004-09-10,Luisa
121,2004-02-17,Casa,Alquiler,Barcelona,270.0,1385910.0,2005-02-05,Pedro
122,2004-02-17,Local,Alquiler,Girona,179.0,1461356.0,2004-07-30,Pedro
123,2004-02-18,Suelo,Alquiler,Tarragona,212.0,926228.0,2004-09-05,Joaquín
128,2004-02-21,Parking,Alquiler,Lleida,206.0,1363926.0,2005-01-08,Carmen
129,2004-02-21,Oficina,Venta,Tarragona,216.0,1389096.0,2004-11-23,Luisa
131,2004-02-21,Oficina,Venta,Tarragona,190.0,1268630.0,2004-12-04,Jesús
132,2004-02-22,Suelo,Alquiler,Tarragona,62.0,391964.0,2004-11-14,Pedro
133,2004-02-22,Oficina,Alquiler,Tarragona,275.0,1765225.0,2005-02-20,Joaquín
135,2004-02-23,Oficina,Alquiler,Lleida,105.0,624435.0,2004-06-24,Joaquín
138,2004-02-26,Local,Alquiler,Tarragona,63.0,533925.0,2004-09-22,Joaquín
141,2004-02-27,Oficina,Venta,Tarragona,123.0,1128156.0,2004-09-23,Pedro
142,2004-02-27,Oficina,Alquiler,Tarragona,134.0,1310520.0,2004-12-28,María
143,2004-02-28,Parking,Alquiler,Barcelona,121.0,782870.0,2004-11-19,Pedro
146,2004-02-28,Parking,Alquiler,Barcelona,76.0,734388.0,2004-05-28,Joaquín
149,2004-03-01,Casa,Alquiler,Lleida,212.0,1800516.0,2004-12-19,Jesús
150,2004-03-01,Oficina,Alquiler,Lleida,128.0,1259904.0,2004-10-02,Luisa
151,2004-03-02,Oficina,Venta,Tarragona,172.0,1063648.0,2005-02-13,María
153,2004-03-02,Industrial,Alquiler,Lleida,52.0,508924.0,2004-09-03,Pedro
154,2004-03-03,Suelo,Alquiler,Girona,185.0,1403595.0,2004-10-02,Pedro
156,2004-03-03,Oficina,Venta,Tarragona,202.0,1891932.0,2004-10-02,María
157,2004-03-03,Casa,Alquiler,Lleida,100.0,731700.0,2004-10-10,Luisa
161,2004-03-05,Piso,Alquiler,Lleida,251.0,1361675.0,2004-08-16,Jesús
163,2004-03-05,Oficina,Alquiler,Girona,287.0,1395681.0,2004-09-13,Carmen
165,2004-03-06,Oficina,Venta,Tarragona,250.0,2275500.0,2004-07-29,Luisa
168,2004-03-07,Industrial,Alquiler,Barcelona,286.0,2080078.0,2004-07-14,Jesús
169,2004-03-08,Suelo,Alquiler,Lleida,73.0,597286.0,2005-02-20,Joaquín
171,2004-03-08,Piso,Alquiler,Tarragona,108.0,558252.0,2004-10-19,María
172,2004-03-09,Oficina,Venta,Girona,268.0,2400476.0,2005-03-08,Joaquín
173,2004-03-09,Piso,Alquiler,Lleida,143.0,1131416.0,2004-08-25,Joaquín
175,2004-03-10,Industrial,Alquiler,Lleida,193.0,1658835.0,2004-08-30,Jesús
179,2004-03-12,Suelo,Alquiler,Tarragona,201.0,1874928.0,2004-06-21,Jesús
180,2004-03-12,Oficina,Venta,Tarragona,42.0,367584.0,2004-08-11,Joaquín
181,2004-03-13,Local,Alquiler,Tarragona,162.0,1323054.0,2004-08-25,Joaquín
182,2004-03-14,Local,Alquiler,Girona,231.0,1446522.0,2004-09-02,Carmen
185,2004-03-16,Casa,Alquiler,Girona,87.0,779868.0,2004-10-23,Jesús
186,2004-03-16,Local,Alquiler,Barcelona,95.0,919030.0,2004-12-10,María
189,2004-03-17,Parking,Alquiler,Lleida,95.0,448210.0,2004-10-25,Pedro
190,2004-03-18,Suelo,Alquiler,Tarragona,71.0,431325.0,2004-07-23,Carmen
193,2004-03-19,Local,Alquiler,Girona,117.0,986895.0,2004-09-14,Pedro
195,2004-03-20,Piso,Alquiler,Barcelona,281.0,1336717.0,2004-11-10,Carmen
197,2004-03-21,Oficina,Alquiler,Girona,174.0,720882.0,2004-08-14,Pedro
198,2004-03-21,Oficina,Venta,Lleida,177.0,842343.0,2005-03-10,María
201,2004-03-22,Piso,Alquiler,Girona,52.0,298272.0,2004-08-13,María
202,2004-03-22,Local,Alquiler,Girona,169.0,902798.0,2004-07-16,Luisa
203,2004-03-23,Local,Alquiler,Barcelona,106.0,692180.0,2004-11-09,Luisa
205,2004-03-23,Piso,Alquiler,Lleida,250.0,2253500.0,2005-02-21,Joaquín
206,2004-03-23,Piso,Alquiler,Lleida,134.0,1338124.0,2004-08-19,Luisa
209,2004-03-24,Oficina,Alquiler,Lleida,206.0,1297594.0,2005-03-03,Carmen
210,2004-03-25,Parking,Alquiler,Barcelona,269.0,2134246.0,2004-08-11,Carmen
211,2004-03-25,Casa,Alquiler,Barcelona,63.0,492156.0,2004-10-25,Carmen
212,2004-03-26,Suelo,Alquiler,Lleida,223.0,1932518.0,2005-01-19,Pedro
214,2004-03-27,Parking,Alquiler,Girona,214.0,1219158.0,2004-07-13,Pedro
216,2004-03-28,Industrial,Alquiler,Lleida,216.0,1398600.0,2004-11-03,Luisa
217,2004-03-29,Suelo,Alquiler,Tarragona,65.0,461435.0,2004-12-31,Carmen
218,2004-03-29,Industrial,Alquiler,Girona,46.0,351256.0,2005-03-28,Luisa
219,2004-03-30,Industrial,Alquiler,Lleida,209.0,1042283.0,2004-09-17,Jesús
220,2004-03-30,Casa,Alquiler,Barcelona,56.0,474600.0,2004-08-27,Pedro
221,2004-03-30,Local,Alquiler,Girona,82.0,420660.0,2004-10-02,María
222,2004-03-31,Suelo,Alquiler,Girona,62.0,489924.0,2004-09-09,Luisa
223,2004-03-31,Oficina,Venta,Tarragona,192.0,1032000.0,2004-08-21,Luisa
224,2004-04-01,Parking,Alquiler,Barcelona,152.0,1069320.0,2004-12-15,Jesús
225,2004-04-01,Local,Alquiler,Tarragona,182.0,1133132.0,2004-08-29,Joaquín
228,2004-04-01,Oficina,Venta,Tarragona,117.0,739206.0,2005-01-25,Carmen
229,2004-04-02,Oficina,Alquiler,Tarragona,186.0,1382166.0,2005-03-01,Pedro
230,2004-04-03,Local,Alquiler,Barcelona,143.0,665951.0,2005-02-18,Pedro
231,2004-04-03,Oficina,Venta,Tarragona,212.0,1479548.0,2004-11-03,María
232,2004-04-03,Local,Alquiler,Girona,246.0,1362348.0,2004-10-05,Joaquín
237,2004-04-05,Casa,Alquiler,Barcelona,170.0,995520.0,2005-02-01,Jesús
238,2004-04-05,Piso,Alquiler,Lleida,268.0,2338032.0,2005-01-02,Pedro
243,2004-04-07,Local,Alquiler,Tarragona,284.0,1431076.0,2004-12-22,María
246,2004-04-09,Industrial,Alquiler,Barcelona,159.0,1582527.0,2004-12-09,Jesús
247,2004-04-09,Suelo,Alquiler,Girona,136.0,873120.0,2004-12-26,Pedro
249,2004-04-09,Piso,Alquiler,Lleida,175.0,747075.0,2005-02-01,Pedro
251,2004-04-09,Parking,Alquiler,Lleida,168.0,1622040.0,2004-10-15,María
254,2004-04-10,Local,Alquiler,Barcelona,49.0,424536.0,2005-03-04,Pedro
256,2004-04-11,Suelo,Alquiler,Lleida,261.0,1220697.0,2005-02-09,Carmen
